name,address,contact,email,areaOfWork,isBmcPartner,ward
Akanksha Foundation,"The Akanksha Foundation Voltas Premises, Z Block Building, 2Nd Floor, T B Kadam Marg, Chinchpokli -East, Mumbai - 400 033",9821014918,natasha.bajaj@akanksha.org,Building High-Performing & Innovative Schools,true,Education Department
Akhil Bharatiya Vanvasi Kalyan Ashram,"Akhil Bharatiya Vanvasi Kalyan Ashram 35, Chanchal Smruti G.D. Ambekar Marg Wadala, Mumbai Maharashtra - 400031",8433915526 / 022- 24131969 / 022-49787039 / 2224129615,kalyanashram2010@gmail.com,Orphanages / Healthcare Education And Literacy,false,Not working with BMC
Akshaya Chaitanya(Hkm Charitable Foundation),"Akshaya Chaitanya Kitchen Jak Compound, Keshavrao Borker Marg, Byculla, Mumbai, Maharashtra 400027",7507526215,prathmesh@akshayachaitanya. org,Zero Class-Room Hunger For Secondary Grade And Pre-Primary Sections.,true,"Education Department  , Health Department"
Akshta Mahila Bachat Gat,"595, New Ashok Nagar, Cama Estate, W.E. Highway, Goregaon (East), Mumbai: 400 063.",9082244769 / 9137688969,babitamahakal@gmail.com,Women empowerment & Skill development,true,SWM Department
Ambalika Swayasahayata Bachat Gat,aif-info@americacares.org,8850903140/9322 856639,ambalikabachagat@gmail.com,"Financial inclusion, cooperative savings, women�s welfare",true,SWM Department
Americare India Foundation,"B-706, Mittal Commercia, Chimatpada, Off M V Road, Marol, Andheri East, Mumbai, Maharashtra 400059",9594999126,aif-info@americacares.org,"Anaemia Prevention, Detection And Treatment; Vision Defect Diagnosis And Providing Spectacle.",true,"Health Department , Education Department"
Americares,"B-706, Mittal Commercia, Chimatpada, Off M V Road, Marol, Andheri East, Mumbai, Maharashtra 400059",9867126135,aif-info@americares.org,Healthcare & Medical Relief,true,"Health Department , Education Department"
Americares Foundation,"Mittal Commercia, B-706, off Sir Mathuradas Vasanji Road, Chimatpada, Marol, Andheri East, Mumbai, Maharashtra 400059",9029082322,Not Specified,Screening Of Diabetes & Hypertension In Population,true,Education Department
Anant Mitr Mandal,"Marol, Andheri (East), Mumbai 400 059",9930341174,vishut116@gmail.com,"Community service, festivals, health camps, youth activities.",false,Not working with BMC
Animal Matter To Me,"Cts 166 / 167 Ashram,Madhmarve Rd, Malad West , Mumbai, Maharashtra 400061",8381828384 / 9920737737,getinvoled@amtmindia.org,Animal Welfare - 1. Animal Welfare & Rescue,false,Not working with BMC
Animal Rescue And Shelter Foundation,"3, Parth Chs, 8-A, Building R, Mmrda Colony, Poonam Nagar, Andheri East, Mumbai, Maharashtra 400093",9820277824,animalrescueandshekater@gma il.com,Animal Welfare - 1. Health Clinic 2. Adoption 3. Homeless Outreach,false,Not working with BMC
Anirudh�s Academy,"Aniruddha Disaster Management Sanstha, Flat No 601,Link Apartment ,Tts 3, Khari Village,Khar West",9869089027,contact@aniruddhaadm.com,Training to children,true,"Health and disaster dept h/west ,g/north,k/east"
Anjeze Charitable Trust,"Royal House Rehman Building, 1St Floor, 24 Veer Nariman Road, Fort, Mumbai � 400001, India.",919820139049,team@anjeze.org,Community Development - 1. Donating An Equipment 2. Service At Remand Homes 3. Funds For Emergency Treatment 4. Nutrition Support 5. Holistic Child Adoption,true,Health  Dept (SION AND KEM HOSPITAL)
Anjeze Charitable Trust,"Royal House,Rehman Building,1St Floor,24 Veer Nariman Road,Mumbai 400001",9820139049,team@anjeze.org,Poverty Alleviation - 1. Poverty Alleviation 2. Rural Development 3. Free Food Distribution,true,Health  Department (Sion and KEM Hospital)
Anjuman-E-Mufidulyatama,"11,Siddique Lane,Off.Mohd.Umer Rajjab Road.Masjid Jamil,Madanpura, Mumbai, Maharashtra 400008",9594578705,info@army.org.in,Education And Training - 1. Orphan 2. Distribution Of Monthly Ration And Clothes 3. Education 4. Empowerment Of  Women Through Industrial Home,false,Not working with BMC
Anjuman-E-Mufidulyatama,"Umar Building 11, Siddique Lane , Rajad Rd, Nagpada, Mandanpura, Mumbai, Maharashtra 400008",2223078705,info@amy.org.in,"Orphanages - Distribution Of Monthly Ration And Clothes To The Poor,  Education, Empowerment Of Women Through Industrial Home,  Community Hall For Functions, Computer Training Classes",false,Not working with BMC
RANGOONWALA INDIA TRUST FOUNDATION,"105�106 Sunrise, C-33 Shastri Nagar, Andheri West, Mumbai 400053",9833005603 / 918767728824 / 9322666691 / 919969464891 / 919987476786 / 918452980783,preetamathur3035@gmail.com,"Children's Rights , Community Development, Rural Development, Education, Environment, Health, Livelihood, Skill Development, Women Empowerment, Community-Based Organizations, Shelter Homes, Sustainable Development & Elderly Care",true,"Health  Department P/N,R/S,K/E,K/W,P/S"
Annamitra Foundation (formerly Food for Life),"Iskcon Chowpatty, 7Km Munshi Marg, Girgaon Chowpatty, Mumbai, Maharashtra 400007",9323111690,info@annamitra.org,"Poverty Alleviation - Hunger,  Food Insecurity And Free Food Distribution",true,EDUCATION  (A to T WARD)
Annapurna Mahila Seva Sanstha,"Sunder Nagari Gate, Lala Nigam Road, Colaba.",9221480263,annapurnassmahilasansatha@g mail.com,Women�s self-help & community welfare,true,SWM (A WARD)
Anniruddha Academy Of Disaster Management,Flat No 601 Link Appartment Tps 3 Khari Village Khar West Mumbai 52,9894509363 9702539472 9869089027,contact@aniruddhasadm.com,Disaster-Management Volunteers.,true,"Disaster  Department,   A to T Ward."
Ansh Seva Sanstha,"Hanuman Tekdi, Chawl  Committiee, W.H. Highway Road, Goregaon (East), Mumbai: 400 063.",9082736171 / 7977197842,ansh007borana7@gmail.com,Social work,true,SWM (P/SOUTH)
Apnalaya,"417-18, Mahinder Chambers Opp, Dukes Factory, Chembur East, Mumbai, Maharashtra 400071",9011935537,admin@apnalaya.org,"Works with the Urban Poor- Enabling Access To Basic Services,  Healthcare,  Education And Livelihood. Empowering Them To Help Themselves And Ensuring Provision Of Civic Entitlements Through Advocacy With The Government",true,HEALTH DEPT   M/EAST
Apne Aap Ngo,"1st Lane Khetwadi, 1st Floor, Municipal School, Near Alankar Cinema, Mumbai � 400004",9637791858,Not Specified,Health & Disability Support - health and rehabilitation for marginalized women.,false,Not working with BMC
Apni Shala Foundation,"61-C, Kamgar Nagar Rd, Near Saraswati Mahavidyalay, Kamgaar Nagar, Kurla, Mumbai, Maharashtra 400024",8451971453,mayuri@apnishala.org,Building Social And Emotional Competencies Among Individuals To Constructively Engage With Society And Have A Harmonious Co-Existence.,true,"Education Department (M East, M West &  L Ward)"
Arpan,"201-202, Atlanta Centre, Sonawala Rd, Opposite Corporate Annexe, Sonawala Industry Estate, Goregaon, Mumbai, Maharashtra 400063",9819051444,info@arpan.org.in,Building Social And Emotional Competencies Among Individuals To Constructively Engage With Society And Have A Harmonious Co-Existence.,true,Education Department L and P South Ward
Aseema Charitable Trust,"Aseema Charitable Trust, Ferndale, Flat No 102, 1St Floor, Plot No. 226, 12Th Road, Khar West, Mumbai � 400 052",2226407248,contact@aseema.org,Education,false,Not working with BMC
Asha Ek Hope Foundation,"402, Guruprabha Apartment, S. B. Road, Dadar West, Mumbai - 400028, Maharashtra, India",8104546479,ashaekhope@gmail.com,Health - 1.Specific Diseases-Functional Neurological Disorders 2.Healthcare 3.Other Services,true,G North Ward
Asha Kiran,"Nanda Kripa Shopping Centre, Glory Family Shop, 1/2, Near Uco Bank, Four Bunglows, Andheri West, Mumbai, Maharashtra 400053",9773821109,ashakiran.andheri@gmail.com,Child Welfare and Education,true,Health Department  K West
Asha Sadan,"Asha Sadan Marg, Umerkhadi, Mumbai, Maharashtra 400009",9967412584,ashasadanmswc@gmail.com,Providing a  Secure And Caring Home For The Children - Shelter,true,Health Department  B
Ashadeep Association,"Shakti Centre B-002, Cardinal Gracious Rd, Chakala, Andheri East, Mumbai 400099",2268525621,ashadeepassociation@gmail.co m,Poverty Alleviation - 1. Poverty Alleviation 2. Child Rights And Welfare 3. Orphanages,true,K East  Ward
Ashina Insitute For Autism,"Nityanad Marg, Muncipal School, Ground Floor, Opposite Garware Plastics, Sahar Rd, Koldongri, Andheri East, Mumbai, Maharashtra 400069",22-26845062,contact@autismconnect.com,Autism- Mental Health - Providing Information About Autism To Parents And Helping Them To Build A Better Life For Their Children,true,K East  Ward
Ashish Foundatin Ngo,"Bldg No 101 / 3 , Mayur Soc New Mahada Colony Ambedkar Nagar Mankhurd Mumbai      400 043",8080539791 / 8169579627,ashishfoundation1994@gmail.c om,Health - 1.Disability Support 2.Healthcare 3.Other Services,true,M East
Ashtavinayak  Seva Sanstha,"Khandwala Lane, Jain Mandir Rd, Pushpa Park, Malad East, Mumbai, Maharashtra 400097",9821243812,ashtavinayakgrp@gmail.com,"Community service, festivals, health camps, youth activities.",true,"Disaster Department,  C & D Ward"
Asmita Handicap Central,"Ajgaonkar Maidan, Western Express Highway, Jogeshwari East, Mumbai, Maharashtra 400060",7208479919,info@asmitatrust.org,Making Physically Challenged People Self Sufficient Through Skill Training And Development,false,Not working with BMC
At Angel Nest,"Police Camp Marol Andheri East, Marol, Andheri East, Mumbai, Maharashtra 400059",9819761300,info@thenestindia.com,"Orphanages - Shelter,  Food And Education For Orphaned Children",true,K East
Awaaz - Voice Of Stray Animals,Colaba -Mumbai,7900094345,Not Specified,Animal Welfare - 1. Animal Welfare & Rescue,false,Not working with BMC
Bal Asha Trust,"Anand Niketan Kgvm, Dr. Eljiah Moses Rd, Mahalakshmi, Mumbai, Maharashtra 400011",9930986400,info@balashatrust.org,"Orphanages - Orphanages,  Child Rights & Welfare Children Home,  Adoption,  Child Development Centre,  Poshan Program",true,Health Department  G South
Barefoot Edu Foundation,"Flat No. 302, Building No. D2, Indiabulls Golf City, Savroli, Khalapur, Raigarh, Maharashtra - 410202",9643773431,contact@barefootedu.com,"Every Child Has A Strong Foundation To Think,  Feel,  Dream And Drive A Meaningful Change",true,Education Department
Berojgar Janakalyan Sangari Seva Sahakari Sanstha,"Opp. Rani Baug, Byculla (E), Mumbai - 400027",9892856026,milindmane123@gmail.com,Employment generation,true,"Disaster Department,  E Ward"
Bgs Foundation,"Kurla West, Mumbai, Maharashtra 400070",(022) 26501312 / 7977386674 / 9594749817,info@bgsfoundation.org,"Provides Assistance to Animals, Environment and People based on their needs.",false,Not working with BMC
Bhavyata Foundation,"Chittaranjan Nagar Chs, D-5/35, Rajawadi,Chittaranjan Nagar, Vidya Vihar East, Ghatkopar,Mumbai,Maharashtra 400077",2221022241 / 9324168890,info@bhavyatafoundation.com,Skill training for unemployed youth,true,"Education Department  N Ward , K East, K West, H Ward, E Ward, L Ward, F South"
Bombay Natural History Society,"Hornbill House, Shahid  Bhagat Singh Rd, Opp. Lion Gate, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",2222821811,info@bnhs.org,"Animal Welfare - 1. Enviornment Protection, Wildlife",true,A Ward
Bombay Panjrapole,"Panjrapole Gaushala Harkami Chawl Shop No.3 By, Near By Cawasji Patel Tank, Mumbai,Maharashtra 400004",2222425493,Not Specified,Animal Welfare - 1. Infirmary Dedicated To Taking Care Of Cows And Other Stray Animals 2. Rearing High Grade Gir Cows For Production Of Milk,true,C Ward
Brain Tumor Foundation,"1129, 11Th Floor, Homi Bhabha Block, Tata Memorial Centre, Dr. Ernest Borges Rd, Parel, Mumbai, Maharashtra 400012",2224177000,btf@braintumorfoundation.in,Improving the care and treatment to people with brain tumour and their families.,true,F South Ward
Bright Future,"Shop No. 105/111, Gala No. 8, Dr. E.Moses Road, Near Four Seasons Hotel, Worli, Mumbai, Maharashtra 400018",8452051505,info@brightfutureindia.org,"Community,  Local Government,  Educational Institutes",true,Health Department  Working With Bmc Health Department G South Ward
Bright Future,"Shashi Bhuvan, Flat No. 2, Jangal-Mangal Road, Near Saaz Cinema, Bhandup West, Mumbai, Maharashtra 400078",9930677510,info@brightfutureindia.org,"Community,  Local Government,  Educational Institutes",true,Health Department  Working With Bmc Health Department S Ward
C-40   Organisation,"Mantralaya, Main Building, Madam Cama Road, Churchgate, Mumbai 400 032",9766528899,eastnarayan@c40.org,Practical Advice For Cities about Tried-And-Tested Climate Solutions.,true,Environment Department (Head Office only)
CACR (Citizen Association For Child Right),"103, 1St Floor, Nahar And Seth Industrial Esatate, Chakala, Andheri East, Mumbai, Maharashtra 400099",9664504998,connect.cacr@gmail.com,"Education,  Hygine And Sanitation,  Nutrition, Gender Equality And Mental Health",true,"Health Department  H East , P South , P North, G South, N Ward .               SWM  K East, K West, L Ward  , Eduaction Department."
Cerebral Palsy Association Of India,"Windsor Bmc Library Building, Windsor Lane, C S T Road, Kalina, Santacruz East, Mumbai, Maharashtra 400098",90298 82662 / 98708 43937,hhw.multiplehandicapped@gm ail.com / cerebralpalsy1963@gmail.com,Health - 1.Specific Diseases-Cerebral Paisy 2.Health-Disability Support,true,Education  Department (H/East)
Child Help Foundation,"4/F1,35, Court Chambers,Near-Sndt Women College, New Marine Lines, Mumbai, Maharashtra 400020",2265352221 / 74004 90806 / +91 22 2811 8588 / +91 90290 10081,contact@childhelpfoundationin dia.org,"Education And Training - 1. Emergency Medical Support  2. Education 3. Water,  Sanitation And Hygiene 4. Gender Equality 5. Zero Hunger 6. Humanitarian Relif 7. Life On Land 8. Life Below Water",true,Heaith Department  (T Ward)
Child Vision And Education,"Office No. 23 C, Ng Park Bldg No 2, Rawalpada, Dahisar East, Mumbai, Maharashtra 400068",2228482370,"childvisioneducation999@gmail.com","Orphanages - Orphanage,  Girl Education, Farmer,  Gaushala,  Old Age Home,  Cancer Care,  Mentally Disable,  Education And Healthcare",true,Education and Health (R/ North)
Child Vision Foundation,"Office No. 317, 3Rd Floor, Swastik Chambers, Sion Trombay Rd, Opp Swastik Park, Chembur, Mumbai, Maharashtra 400071",9867764560,info@childvisionfoundation.org,Education And Training - 1. Education And Literacy 2. Child Rights And Welfare 3. Healthcare- Other Services,true,M/E Ward
Childrens Love Castles Trust,Bangalore,8951472747,info@cltindia.org,Access To Quality Education For All,false,Not working with BMC
Comitted Comunity Development,"Ground Floor, 42 Chapel Road, Bandra West, Mumbai, Maharashtra 400050",7219009633,contact@ccdtrust.org,"Child Protection,  Health And Nutrition, Youth Empowerment",false,Not working with BMC
Community Aid And Sponsorship Programme-Caspindia,"Shreyas Chambers, Gr. Floor, 175, Dr. D.N. Road, Mumbai 400001",9137628097,info@caspindia.org,Community Development - 1. Early Childhood Care And Development 2. Education Center For Primary School Children 3. Healthcare,false,Not working with BMC
Community Development Center;,"Lutheran Centre, Marve Road, Malad West, Mumbai, Maharashtra 400064",8080931173,cdcmubai1@gmail.com,"Education,  Medical,  Sports,  Vocational Training,  Feeding",false,Not working with BMC
Community Outreach Programme (Street Children),"Methodist Centre, 1St Floor 21 Ymce Road Mumbai Central, Mumbai, Maharashtra 400008",9137687006,info@corpindia.org,"Education,  Shelter,  Health And Nutrition",false,Not working with BMC
Compassion Charitable Trust,"Daya Vihar Ashram, Pathare Wadi, Opp. Bageecha Hotel, Malwani,Kharodi Village, Malad West, Mumbai, Maharashtra 400095",9869659017,johndayavihar@gmail.com,Education And Training - 1. Education Program 2. Helping The Widow And Orphans 3.Helping The Destitute 4. Health Initiative 5. Relief Work,false,Not working with BMC
Compassion Charitable Trust,"Vanashree Farm, Pathare Wadi, Opp. Bageecha Hotel, Marve Road, Malwani Village, Malad (W), Mumbai - 400095, Maharashtra, India",9869659017 / 7977603279,johndayavihar@gmail.com,Health - 1.Orphanages 2.Healthcare 3.Education And Literacy 4.Other Services,false,Not working with BMC
Compassion Charitable Trust,"Vanashree  Farm, Pathare Wadi, Opp. Bageecha Hotel, Marve Road, Malwani Village, Malad West, Mumbai, Maharashtra 400095",9869659017,johndayavihar@gamil.com,"Orphanages - Food,  Education And Shelter For Orphaned Children",false,Not working with BMC
Concern India Foundation,"3Rd Floor, Ador House, 6, K. Dubash Marg, Mumbai - 400 001",9833875941 / (022) 22855487 / 35121220,anna.joy@concernindia.org / concern@concernindia.org,Health - 1.Education And Literacy 2.Healthcare 3.Community Development,true,Education Department
Concern India Foundation,"3Rd Floor, Ador House,         6, K. Dubash Marg,         Mumbai - 400 001",(022) 22855487 / 35121220,concern@concernindia.org,"Community Development - Education, Healthcare,  Community Development",true,Education Department
Conservation Action Trust,"5, Sahakar Bhavan,1St Floor Lbs Road , Narayan Nagar , Ghatkopar West ,Next To Mahindra Park , Mumbai ,Maharashtra 400086",2225122422,Not Specified,Animal Welfare - 1. Animals- Wildlife 2. Forest Protection 3. Environment Protection,false,Not working with BMC
Coro (Committee Of Resource Organizations),"Sion Trombay Road, Chembur East, Mumbai - 400071 (Near Suman Nagar, Opposite Bezole Complex, Vijay Sales Showroom)",8652515818,info@coroindia.org,"Community Development - 1. Grassroots Leadership 2. Gender Sensitisation 3. Empowering Women 4. Water Scarcity 5 .Women,  Empowering And Advocating For Gender Equality And Women's Rights.",true,SWM Department
Daf Foundation,"No.4, Shraddha Building No.3 Chs, Off 90 Feet Rd, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101",9004671248,info@daf.foundation,Poverty Alleviation - 1. Women Welfare 2. Child Rights And Welfare 3. Free Healthcare,true,Disaster Management F North & F South
Daf Foundation,"Debabrata Auro Foundation, Shraddha Building No.3, Asha Nagar, Thakur Complex, Kandivali (East), Mumbai, 400101",9004671248,info@daf.foundation,Health - 1.Women Welfare 2.Child Rights And Welfare 3.Free Healthcare,true,Health Department
Demystifying Minds,"Sangh Chhaya Chs, Charkop Gaon, Kandivali West, Mumbai, Maharashtra 400067",8999316693,contact@demystifyingmindsbyx ama.com,Health - Mental Health,false,Not working with BMC
Desai Foundation Trust,"Manoj Industrial Premises Co-Op Society Ltd, B-4, G.D. Ambekar Rd, Shriram Imdusatrial Esatate, Sahakar Nagar, Wadala, Mumbai, Maharashtra 400031",2637238028,info@thedesaifoundation.org,Education And Training - 1. Heath 2. Livelihood 3. Menstrual Equity 4. Climate,false,Not working with BMC
Desai Foundation Trust,"B-4, Manoj Industrial Premises Co-Op Society Ltd, G.D. Ambedkar Marg, Wadala, Mumbai 400031",9510626639,info@desaifoundationtrust.org,Health - 1.Domestic Violence 2.Education And Literacy 3.Free Healthcare,false,Not working with BMC
Devraj Seva Sangh,"Dr. Babasaheb Ambedkar Nagar, Captain Prakash Peth Marg, Mumbai - 400 005.",9833160120,dev123waghela@gmail.com,"Community service, festivals, health camps, youth activities.",true,"SWM Department,  A Ward"
Dhanshree Mahila Bachat Gat,Sai Samarth Nagar Lions Club Balwadi Samor S.T Road Chembur,9082496498,Not Specified,"Women empowerment, self-help savings, income generation.",true,"SWM Department, M/W Ward"
Dharavi Diary,"5/B, Mahim � Sion Link Road, Nayanagar, Near Raheja Hospital, Mahim (West) 400016",9619333082,info@dharavidiary.org,Community Development - 1.Education & Innovation 2.Health & Environment 3.Women Empowerment 4.Humans Of Dharavi,false,Not working with BMC
Dharma Bharathi Mission,"Unit No, 913, Raheja Centre, Plot Mo. 214, Free Press Journal Marg, Nariman Point, Mumbai, Maharashtra 400021",9819108191,info@dbmindia.org,"Poverty Alleviation - 1. Hunger,  Food Insecurity 2. Vocational Training 3. Scholarships And Educational Awards",false,Not working with BMC
Dharma Bharati Mission,"9Th Floor, Raheja Centre, 913, Free Preass Journal Marg, Nariman Point, Mumbai, Maharashtra 400021",9819108191,info@dbmindia.org,"Education And Training - Hunger,  Food Insecurity,  Child Education,  Women's Empowerment,  & Generating Employment For The Underprivileged Section Of Society, Scholarships And Vocational Training",false,Not working with BMC
Divyam Mind Guiding Academy,"37-A, Kamgar Nagar Rd, Near Nandikeshwar Mandir, Kamgaar Nagar, Kurla, Mumbai, Maharashtra 400024",8369999593,admin@divyammga.org,"Autism- Mental Health - Autism,  ADHD, Epilepsy,  Dyslexia,  Downs Syndrome",false,Not working with BMC
Dmart Foundation,"Main Gate Rd, Iit Area, Powai, Mumbai, Maharashtra 400076",8928200305,onkar.kulkarni@dmartfoundati on.org,"Better Schools,  Brighter Future",true,"Education Department , Eastern & Western Suburb."
Dr. Ambedkar Nagar Mahila Vikas Samiti,"Dr. Babasaheb Ambedkar Nagar,Cup Parade,",9930413889,thikerthik@gmail.com,Women empowerment & Welfare,true,"SWM ,  A Ward"
Earth Brigade Foundation,"3Rd Floor, Shiv Ashish Commercial Complex, 305,19Th Rd , Above Bata Showroom,OppositeStarbucks, Chembur Gaothan, Chembur Mumbai Maharashtra 400071",9820228605,Director@earthbrigadefoundati on.com,"Works for wildlife conservation in India, street animal welfare and the empowerment of underprivileged women in rural areas.",false,Not working with BMC
Earth Brigade Foundation,"3Rd Floor, Shiv Ashish Commercial Complex, 305, 19Th Rd, Above Bata Showroom, Opp Starbucks, Chembur Gaothan, Chembur, Mumbai, Maharashtra",9820228605,Director@earthbrigadefoundati on.com,Skill development programs,false,Not working with BMC
Eco Echo,"Shiv Veer, Swami Samarth Temple Lane, Sector 5, Sector 8, Kandivali West, Mumbai, Maharashtra 400067",7977891228,echofoundation.india@gmail.co m,Animal Welfare - 1. Biodiversity Assessment Group,false,Not working with BMC
Educoindia,"Saibaba Path Sankul, Opp. Best Colony, Shri Sai Baba Marg, Near Finlay Mill, Lalbaug, Parel, Mumbai, Maharashtra 400012",9653452991,trainingcoordinator@educoindi a.org,Education,true,Education Department  F South Ward
Ekam Foundation Mumbai,"Mezzanine Floor, Dgp House, 88-C, Old Prabhadevi Road, Mumbai � 400 025",9619373702 / (022)35110860,ekameducationfund@gmail.co m admin@ekamfoundationmumb ai.org surgery.mumbai@gmai.com,Health - 1.Scholarships And Educational Awards 2.Child Rights And Welfare 3.Free Healthcare,true,Education Department  G South  & G North Ward
Emancipaction India Foundation,"Elysium Mansion, 7, Colaba Causeway, Walton Rd, Mumbai, 400001",7021019885,vandana@eaif-raah.org,"Health - To Make Mental Healthcare Accessible Across India Through School Curriculums,  Capacity Building Programs And Trauma Informed Care Counselling.",true,"Education,  A Ward"
Fazlani Aishabai And Haji Abdul Latif Charitable Trust,"2Nd Floor, Municipal School Building, Gate No: 14, J. J. Hospital Compound, Byculla, Mumbai � 400008",7710055883 / 2223735954,"shabir@aishabaitrust.com/imfo@aishabaitrust.com",Education And Training - 1. Education And Literacy 2. Vocational Training 3. Scholarships And Educational Awards,true,"Education Department  A, E &  G North Ward"
Forum For Autism,"Flat No. 1, Ground Floor, Sarabh House, Garden Lane, Off Colaba Causeway, Mumbai, Maharashtra 400039",9029018100,forumforautism@gmail.com,"Autism- Mental Health - Improving Facilities For Diagnosis,  Education,  Training And Rehabilitation of Person with ADHD",false,Not working with BMC
Foundation For Mother And Child Health,"Safed Pool, Tanaji Nagar, Sai Krupa Rahiwasi Society, Jarimari, Kurla West, Mumbai 400 072 Landmark: Shantidut Budhvihar, Buddhist Temple.",02225220085 /9101069135,contact@fmch-india.org,Provide mothers with expert guidance & nutritional information by working in communities and strengthening government systems.,false,Not working with BMC
Godavari Mahila Seva Sahakari Sanstha Maryadit,"Unit No. 30, Aarey Milk Colony, Goregaon (E), Mumbai: 400 065.",9322856639 / 9768279469,gdube371@gmail.com,"Financial inclusion, cooperative savings, women�s welfare",false,Not working with BMC
Going To School,"Bungalow No. 23, Aram Nagar Part 2, Near Ganesh Temple, J.P. Road, Versova, Andheri West, Mumbai 400061",9810621876,lisa@goingtoschool.com,Going To School Makes Design-Driven Stories To Equip Young People With The Enterprise Skills and Transition From School To Sustainable Enterprise.,true,Education Department  A to T Ward
Good Samaritan Mission,"177/2759 Group, No-8B, Tagore Nagar, Vikhroli, Mumbai, Maharashtra 400083",2225746118,samaritan94@gmail.com,Education And Training - 1. Education And Literacy,false,Not working with BMC
Goodshare Foundation,"1102, Panch Mahal, P Sristi Bld 5 Cts-11 28 To106 Powai Chandivali Rd , Mumbai, Maharashtra, India - 400072",9821231555,sourav_mitra@rediffmail.com & souravmitra1960@gmail.com,Impacting Children With Specialized Vocational Training. In Education Sector.,false,Not working with BMC
Gowd Saraswat Brahman Sabha Dahisar Borivali Charitable Trust,"Shanti Nagar, Near B23, Vithal Mandir, Dahisar (E)",9920266277 240174673,Not Specified,Community cultural programs Scholarships & educational support,false,Not working with BMC
Green Mumbai,A 1403 Runwal Elegente Lokhandwala        And  A7 Inlaks Nagar.  Yari Road Versova. Mumbai 400061,9821139317,pharmed_india@rediffmail.com,Making environmentally sustainable and climate-resilient environment.,true,"Road, Environment, Water and Health Department, K/W Ward"
Grok Learning Pvt Ltd,"Level 3, A-Wing, Amba Bhavan Plot No. 29, Sion Circle, Sion (West) Mumbai, Maharashtra 400022,",9324502127,jenice.kujur@grokstem.com,Scholarships & educational support,false,Not working with BMC
Habitat For Humanity,"3Rd Floor, Afl House, Lok Bharti Complex, Marol,Maroshi Rd, Andheri East, Mumbai, Maharashtra 400059",2267846836,info@hfhindia.org,"Housing - Work To Build Better Livelihoods Through Housing,  Microfinance Support, Sanitation,  And Disaster Risk Reduction.",false,Not working with BMC
Hamara Foundation,"Room No. 27, 1St Floor, Glider Lane Mumcipal School, Opp. Mumbai Central Railways Station, Off Bellasis Bridge, Mumbai, Maharashtra 400008",8689958432,hamarafoundation89@gmail.co m,"Healthcare Preventive And Curative, Nutrition,  Education Formal And Non Formal, Skills/ Vocational Training",true,"Education Department   D Ward, F South"
Harinagar Marleshwar Mahila Vasti Star Sangh,Hari Nagar Kashinath Bhaiya Chawal Jogeshwari East,9869338344,rajnanikavi@gmail.com,"Swachh Bharat Mission,  Education",true,"Ac Planning , K East"
